Metric,Algorithm,X,Value
key_expansion_time_ms,lsa,8,49.7675
key_expansion_time_ms,lsa,16,51.5281
key_expansion_time_ms,lsa,32,55.0422
key_expansion_time_ms,lsa,64,62.0831
key_expansion_time_ms,lsa,128,76.1679
key_expansion_time_ms,lsa,256,104.3312
key_expansion_time_ms,spn,8,66.7602
key_expansion_time_ms,spn,16,68.5203
key_expansion_time_ms,spn,32,72.0404
key_expansion_time_ms,spn,64,79.0803
key_expansion_time_ms,spn,128,93.1604
key_expansion_time_ms,spn,256,121.3210
key_expansion_time_ms,feistel,8,59.7602
key_expansion_time_ms,feistel,16,61.5202
key_expansion_time_ms,feistel,32,65.0402
key_expansion_time_ms,feistel,64,72.0802
key_expansion_time_ms,feistel,128,86.1607
key_expansion_time_ms,feistel,256,114.3212
security_level_percent,lsa,8,96.3725
security_level_percent,lsa,16,96.6926
security_level_percent,lsa,32,97.3398
security_level_percent,lsa,64,98.4547
security_level_percent,lsa,128,99.6618
security_level_percent,lsa,256,99.6469
security_level_percent,spn,8,94.6016
security_level_percent,spn,16,94.9072
security_level_percent,spn,32,95.5496
security_level_percent,spn,64,96.6671
security_level_percent,spn,128,97.8717
security_level_percent,spn,256,97.8694
security_level_percent,feistel,8,93.1772
security_level_percent,feistel,16,93.5037
security_level_percent,feistel,32,94.1443
security_level_percent,feistel,64,95.2605
security_level_percent,feistel,128,96.4598
security_level_percent,feistel,256,96.4477
energy_consumption_uj,lsa,10,385.3091
energy_consumption_uj,lsa,20,396.4987
energy_consumption_uj,lsa,40,420.0612
energy_consumption_uj,lsa,60,440.6933
energy_consumption_uj,lsa,80,466.9350
energy_consumption_uj,lsa,100,487.4825
energy_consumption_uj,spn,10,684.7208
energy_consumption_uj,spn,20,707.3511
energy_consumption_uj,spn,40,751.6874
energy_consumption_uj,spn,60,793.3364
energy_consumption_uj,spn,80,837.3029
energy_consumption_uj,spn,100,879.6215
energy_consumption_uj,feistel,10,707.5540
energy_consumption_uj,feistel,20,728.0752
energy_consumption_uj,feistel,40,776.3732
energy_consumption_uj,feistel,60,825.6226
energy_consumption_uj,feistel,80,874.4524
energy_consumption_uj,feistel,100,920.6332
pdr_percent,lsa,10,95.5000
pdr_percent,lsa,20,94.5400
pdr_percent,lsa,40,93.6300
pdr_percent,lsa,60,92.5433
pdr_percent,lsa,80,91.1775
pdr_percent,lsa,100,89.6440
pdr_percent,spn,10,92.8800
pdr_percent,spn,20,92.3600
pdr_percent,spn,40,91.2050
pdr_percent,spn,60,90.1467
pdr_percent,spn,80,88.7075
pdr_percent,spn,100,87.0220
pdr_percent,feistel,10,90.0200
pdr_percent,feistel,20,89.4700
pdr_percent,feistel,40,88.4900
pdr_percent,feistel,60,87.3767
pdr_percent,feistel,80,86.3900
pdr_percent,feistel,100,84.2240
