nodes,algorithm,energy_uJ
10,lsa_v2,381.5373963078365
10,lsa_legacy,384.9263177926655
10,spn,689.0249363949023
10,feistel,711.3287759708506
20,lsa_v2,390.99851796472115
20,lsa_legacy,395.32749382079527
20,spn,705.6252734441953
20,feistel,727.7333538371314
40,lsa_v2,428.8272712014055
40,lsa_legacy,422.02490855480477
40,spn,744.6955802283247
40,feistel,783.5893097352739
60,lsa_v2,453.6107809850632
60,lsa_legacy,448.16232630275573
60,spn,786.4031501702299
60,feistel,824.5788296356687
80,lsa_v2,472.33455574593313
80,lsa_legacy,462.4616526719061
80,spn,839.2190971407312
80,feistel,878.8731702671466
100,lsa_v2,484.3653476421096
100,lsa_legacy,488.702373219691
100,spn,863.7936632996547
100,feistel,917.8780617933286
