nodes,algorithm,pdr_percent
10,lsa_v2,96.91826927915425
10,lsa_legacy,96.4206617638684
10,spn,89.50824932368157
10,feistel,79.53680910726753
20,lsa_v2,93.95643111507637
20,lsa_legacy,94.24182364706792
20,spn,79.3834227511884
20,feistel,63.68571103272443
40,lsa_v2,89.27362554779323
40,lsa_legacy,88.69716020222555
40,spn,61.38758485509011
40,feistel,41.70934290528978
60,lsa_v2,83.62655098891393
60,lsa_legacy,83.22691270254779
60,spn,48.71012663849218
60,feistel,26.52087339815416
80,lsa_v2,78.71954477928097
80,lsa_legacy,78.99385144391587
80,spn,39.08229700558388
80,feistel,16.585578632891632
100,lsa_v2,75.14833875549992
100,lsa_legacy,73.10577816841054
100,spn,30.04352864370242
100,feistel,11.374474439475678
